indexName,documentTypeName,TR_DTM,EBNK_MED_DSC,COPR_DS,LANG_DS,E_FNC_USR_OS_DSC,E_FNC_LGIN_DSC,NBNK_C,RMS_SVC_C,E_FNC_USR_DVIC_INF_CNTN,E_FNC_USR_ACS_DSC,E_FNC_MED_SVCID,E_FNC_MED_SVRNM,E_FNC_RSP_C,EXE_YN,Amount,E_FNC_TR_ACNO_C,IO_EA_DD1_FTR_LMT3,IO_EA_TM1_FTR_LMT3,IO_EA_PW_CD_DS1,IO_EA_PW_CD_DS2,IO_EA_PW_CD_DS3,PRE_ASSIGN_YN,SMS_AUTHEN_YN,EXCEPT_REGIST,EXCEPTION_ADD_AUTHEN_YN,SMART_AUTHEN_YN,ATTC_DS,FTR_DS2,RV_AC_DGN_YN2,IO_EA_DPZ_PL_IMP_BAC,IO_EA_TOT_BAC6,IO_EA_RMT_FEE1,securityMediaType,workType,workGbn,FDS_IDEN,country,doaddress,isForeigner,isNewAccount,isNewDevice,pc_PubIpCntryCd,pc_isProxy,pc_PrxyCntryCd,pc_isVpn,pc_VpnCntryCd,pc_FORGERY_MAC_YN,pc_FORGERY_MAC_ETH0_YN,pc_FORGERY_MAC_ETH1_YN,pc_FORGERY_MAC_ETH2_YN,pc_FORGERY_MAC_ETH3_YN,pc_FORGERY_MAC_ETH4_YN,pc_FORGERY_MAC_ETH5_YN,pc_isWinDefender,pc_HdModel,pc_BwVsnCd,pc_isVm,pc_vmName,pc_SCAN_CNT_DETECT,pc_SCAN_CNT_CURED,pc_os,pc_OsLangCd,pc_OsRemoteYn,pc_OS_FIREWALL_CD,pc_REMOTE_YN,pc_RemoteProg,pc_RemotePORT,pc_remoteInfo1,pc_remoteInfo2,pc_remoteInfo3,pc_remoteInfo4,pc_remoteInfo5,pc_remoteInfo6,pc_remoteInfo7,pc_remoteInfo8,pc_isCertMisuse,processState,pc_foresicInfo,pc_isWinFirewall
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I1,PC,5,IPAR0423R,16.52-06,0,1,61000000,34,50000,10000,0,8,,1,1,0,0,,,2,1,433641479,372641479,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,ADATA SP920SS,30-091-000,N,,0,0,10-010-000-10,412,N,2,N,AnyDesk,443,kakaotalk.exe,,,,,,,,2,N,1974,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,,,EAIPROGGR0,PC,5,IPCNA000R,16.52-06,0,,0,,50000,10000,0,8,,1,1,0,0,,,2,1,372074479,0,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,ADATA SP920SS,30-086-000,N,,0,0,10-010-000-10,412,N,2,N,AnyDesk,443,kakaotalk.exe,,,,,,,,2,N,1974,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I1,PC,5,IPAR0423R,16.52-06,0,1,100000000,34,50000,10000,0,8,,1,1,0,0,,,2,1,0,433641479,0,2,CERT,2,null,KR,11,0,1,0,null,N,,N,,N,N,N,N,N,N,N,null,ADATA SP920SS,30-091-000,N,,0,0,10-010-000-10,412,N,2,N,AnyDesk,443,kakaotalk.exe,,,,,,,,2,N,1974,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I0,PC,5,IPAR0423R,16.52-06,0,1,567000,1,50000,10000,0,8,,1,1,0,0,,,2,1,433685479,372074479,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,ADATA SP920SS,30-091-000,N,,0,0,10-010-000-10,412,N,2,N,AnyDesk,443,kakaotalk.exe,,,,,,,,2,N,1974,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,,,EAIPROGGR0,PC,5,IPCNA000R,16.52-06,0,,0,,50000,10000,0,8,,1,1,0,0,,,2,1,433858895,0,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,ADATA SP920SS,30-091-000,N,,0,0,10-010-000-10,412,N,2,N,AnyDesk,443,kakaotalk.exe,,,,,,,,2,N,1974,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I1,PC,5,IPAR0013R,16.52-06,0,1,85000,3,50000,10000,0,8,,1,1,0,0,,,2,1,417867165,433685479,0,2,CERT,2,null,KR,11,0,1,0,null,N,,N,,N,N,N,N,N,N,N,null,ADATA SP920SS,30-091-000,N,,0,0,10-010-000-10,412,N,2,N,AnyDesk,443,kakaotalk.exe,,,,,,,,2,N,1974,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I1,PC,99,IPAR0013R,16.49-01,0,1,50000,4,100000,10000,0,12,,1,0,0,0,,4,2,1,0,433858895,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I1,PC,99,IPAR0023R,16.49-01,0,1,25859860,4,100000,10000,0,12,,1,0,0,0,,4,2,1,7229645,7229645,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,,,EAIPROGGR0,PC,99,IPCNA000R,16.49-01,0,,0,,100000,10000,0,12,,1,0,0,0,,4,2,1,443727025,443727025,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I0,PC,99,IPAR0023R,16.49-01,0,1,9868130,1,100000,10000,0,12,,1,0,0,0,,4,2,1,433908895,433908895,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
